node_id,longitude,latitude
101,126.6311515,45.6650500
102,126.6305766,45.6676639
103,126.6309323,45.6660469
104,126.6297900,45.7085548
105,126.6299936,45.7065683
106,126.6298267,45.7073888
107,126.6299155,45.7069691
108,126.6299242,45.7069244
109,126.5872213,45.7149140
110,126.5872259,45.7143100
111,126.6843484,45.7562127
112,126.6837879,45.7550393
113,126.7725760,45.7454305
114,126.7784487,45.7461925
115,126.7783224,45.7461762
116,126.5498404,45.6673825
117,126.5501543,45.6678270
118,126.6722920,45.7086701
119,126.6599281,45.7121653
120,126.6507693,45.6986828
121,126.6598722,45.7118561
122,126.6575665,45.7083132
123,126.6572208,45.7078289
124,126.6571970,45.7077854
125,126.6564890,45.7068036
126,126.6563693,45.7066366
127,126.6545280,45.7040664
128,126.6521948,45.7007416
129,126.6519051,45.7003660
130,126.6517942,45.7001926
131,126.6179505,45.8311970
132,126.6044601,45.8262242
133,126.6136747,45.8296036
134,126.6109498,45.8285730
135,126.6107156,45.8284860
136,126.6045754,45.8262572
137,126.6989862,45.7301350
138,126.6991856,45.7301572
139,126.6520434,45.7144875
140,126.6509508,45.7128924
141,126.6596537,45.7606943
142,126.6625903,45.7602347
143,126.6604835,45.7602934
144,126.6621923,45.7602711
145,126.6163003,45.7043979
146,126.6174990,45.7044985
147,126.5277987,45.8144083
148,126.5345364,45.8147775
149,126.5283098,45.8144331
150,126.5302235,45.8145183
151,126.5304975,45.8145085
152,126.5343875,45.8144538
153,126.5345326,45.8144549
154,126.5346544,45.8144397
155,126.5361571,45.8140632
156,126.5365149,45.8139362
157,126.5366540,45.8138868
158,126.6916408,45.7268288
159,126.6863926,45.7258695
160,126.6888076,45.7263109
161,126.6875244,45.7260764
162,126.6866951,45.7259248
163,126.6359959,45.8177603
164,126.6362160,45.8175239
165,126.6363914,45.8177201
166,126.6361095,45.8178214
167,126.5430779,45.7420167
168,126.5435023,45.7424387
169,126.5748373,45.7171575
170,126.5701576,45.7207537
171,126.5733068,45.7183337
172,126.5731353,45.7184655
173,126.6767552,45.7485260
174,126.6797092,45.7488826
175,126.6779994,45.7486789
176,126.6785619,45.7487473
177,126.5245719,45.8070728
178,126.5241972,45.8066922
179,126.5657331,45.6890431
180,126.5658732,45.6889575
181,126.6398666,45.7204080
182,126.6459166,45.7171906
183,126.7032233,45.7487838
184,126.7027462,45.7484638
185,126.6795970,45.7031037
186,126.6808499,45.7018161
187,126.5872920,45.6603090
188,126.5874614,45.6612590
189,126.5987400,45.7495748
190,126.5956934,45.7462738
191,126.5972640,45.7479472
192,126.5476875,45.8031186
193,126.5482297,45.8042640
194,126.7066821,45.7168511
195,126.7075735,45.7167788
196,126.7071539,45.7168128
197,126.6619761,45.7539480
198,126.6623745,45.7584226
199,126.6620683,45.7551972
200,126.6621965,45.7564856
201,126.5740971,45.7464842
202,126.5836452,45.7475852
203,126.5755470,45.7466713
204,126.5762791,45.7467514
205,126.5770991,45.7468512
206,126.5809834,45.7472783
207,126.6831219,45.7706544
208,126.6818188,45.7708382
209,126.7523522,45.7153072
210,126.7508922,45.7114991
211,126.6688521,45.7416291
212,126.6720738,45.7411548
213,126.6702914,45.7414115
214,126.6788234,45.7034316
215,126.6794422,45.7030416
216,126.5736815,45.7298480
217,126.5774431,45.7322981
218,126.6141915,45.7152097
219,126.6143444,45.7148173
220,126.6085407,45.7572869
221,126.6078046,45.7559273
222,126.6080920,45.7564368
223,126.7027554,45.7678150
224,126.7012851,45.7680769
225,126.6302022,45.7598422
226,126.6292451,45.7595578
227,126.7469723,45.6683011
228,126.7481831,45.6702322
229,126.6135086,45.7108783
230,126.6120595,45.7107413
231,126.6556229,45.7649404
232,126.6549289,45.7635759
233,126.5539830,45.8317821
234,126.5568962,45.8279640
235,126.5555241,45.8297819
236,126.6969226,45.7390922
237,126.6954746,45.7334430
238,126.6961981,45.7363285
239,126.5292284,45.7402293
240,126.5295161,45.7405488
241,126.4790050,45.8012441
242,126.5017472,45.8083710
243,126.5015893,45.8083196
244,126.6172297,45.7173150
245,126.6054040,45.7214357
246,126.6129801,45.7187299
247,126.6107922,45.7194860
248,126.6088811,45.7201521
249,126.6058040,45.7212129
250,126.6056958,45.7212501
251,126.5903409,45.6941524
252,126.5898955,45.6935132
253,126.5180599,45.8182267
254,126.5166269,45.8182326
255,126.6156230,45.7505337
256,126.6279430,45.7672206
257,126.6184172,45.7533697
258,126.6188969,45.7549464
259,126.6204673,45.7582300
260,126.6208086,45.7586131
261,126.6221191,45.7600736
262,126.6222161,45.7601779
263,126.6282850,45.7640879
264,126.6286091,45.7655052
265,126.6286264,45.7655947
266,126.5574590,45.8106976
267,126.5574324,45.8110730
268,126.5623881,45.6638040
269,126.5601472,45.6681340
270,126.5644690,45.6665277
271,126.5594501,45.6971939
272,126.5596909,45.6972077
273,126.5950430,45.7868596
274,126.5950142,45.7867697
275,126.5949354,45.7868778
276,126.6655540,45.7451124
277,126.6653383,45.7452778
278,126.5380405,45.8032495
279,126.5397815,45.8051151
280,126.5394611,45.8047718
281,126.6316652,45.7246292
282,126.6264852,45.7174084
283,126.6220646,45.7430225
284,126.6180666,45.7395461
285,126.6214756,45.7424913
286,126.6208564,45.7419489
287,126.6199767,45.7412114
288,126.6187712,45.7401561
289,126.6904307,45.7506396
290,126.6901267,45.7518511
291,126.6905288,45.7506528
292,126.6909155,45.7507046
293,126.6911286,45.7507331
294,126.6913352,45.7507608
