node_id,longitude,latitude
412564883,126.7539863,45.8150504
412727847,126.5780174,45.8216043
412727853,126.5625188,45.8183381
412727854,126.5631132,45.8137058
412727857,126.5697335,45.8150596
412727860,126.5784369,45.8156129
412728330,126.578559,45.814898
412728335,126.5959466,45.809084
412728531,126.6296145,45.7831333
412728533,126.6329482,45.7773201
412728534,126.6331431,45.7769421
412728535,126.6354666,45.7729407
412728536,126.6370347,45.7701766
412754507,126.5345356,45.8008628
412754527,126.534486,45.8010635
412754529,126.5338635,45.8010698
412754530,126.534014,45.8006863
412754566,126.5336173,45.8067014
412759151,126.5696369,45.7849875
412759152,126.5698271,45.7850873
412759153,126.5722742,45.7863939
412759154,126.5738668,45.7872486
412759162,126.5785297,45.7845626
412759164,126.5793467,45.7840177
412759296,126.5660916,45.7805704
412759298,126.5677947,45.7786516
412759690,126.574632,45.7803507
412759691,126.5747962,45.780427
412759693,126.5769436,45.781566
412759697,126.576709,45.7828637
412759748,126.568191,45.7859275
412759749,126.5689547,45.7863586
412759750,126.5727355,45.788315
412760139,126.5712735,45.7837612
412760141,126.5710009,45.7833675
412760142,126.5711472,45.7832298
412760143,126.5715751,45.7831908
412760144,126.5717583,45.7832891
412760145,126.5718241,45.7835683
412760146,126.5716952,45.7837026
412760337,126.5686645,45.7819536
412760341,126.5691367,45.7821964
412760343,126.5690187,45.7823129
412760394,126.5737834,45.7846048
412760395,126.5742578,45.784623
412760397,126.573821,45.7850307
412760398,126.5736526,45.7847372
412760426,126.5760316,45.7829563
412760427,126.5733476,45.781544
412760428,126.5735164,45.7816327
412760632,126.5710681,45.7836609
412760633,126.5689904,45.7846484
412760636,126.5689008,45.7855718
412760637,126.569246,45.7857563
412760640,126.5704912,45.7854357
412761121,126.5578324,45.7815769
412761266,126.5644885,45.7848204
412761273,126.5749918,45.7906145
412761275,126.5755027,45.7906285
412761278,126.5852005,45.7840643
412761282,126.5874945,45.7801069
412761310,126.5919357,45.7820279
412767432,126.6461917,45.7892475
412767433,126.6478529,45.7897532
412767434,126.6495287,45.7902685
